Data File,C:\Path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time,5/5/2022 2:53:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,2-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,PM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,StrainB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name,StrainB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,StrainB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
2.5,14.054,11,11,11,11,11,11,11,17.0823,22.0936,43.857,36.6062,15.9496,11,11,11,11,11,11,11,11,19.6356,19.3648,39.1686,25.1847,11.5201,11,11,11,11,11,11,11,18.8778,19.7316,37.1996,16.7139,11,11,11,11,11,11,11,15.5395,21.6406,19.3878,42.4182,18.3795,15.8057,11,12.0536,11,11.2656,11,11,14.8491,15.0848,22.7791,34.5566,23.8761,18.9128,12.9298,12.854,11,15.2249,84.2138,15.9048,13.6476,14.9901,27.231,43.3179,28.7793,16.6836,29.3355,26.5864,16.5438,14.0755,11.6311,15.0883,49.4315,34.1298,27.9576,34.8706,33.4927,26.5036,34.1317,23.8564,16.5145,20.0142,19.3354,27.8509,26.9831,25.8907,33.0293,44.472
2.75,20.8949,15.0289,11,13.6241,13.1441,11,20.0524,21.8186,25.9564,32.7117,52.2469,44.9864,26.9431,16.6842,11.3585,15.2046,12.6715,12.0593,14.216,12.1215,11.7332,28.5704,28.6642,48.2358,29.1951,21.4106,17.8344,17.2427,18.1152,13.1416,15.3729,12.7088,15.9371,27.184,25.97,45.3671,22.4616,12.492,11,11,15.7651,17.5925,17.0431,17.2509,21.9964,28.5346,25.8339,50.7048,28.4172,21.208,13.7745,15.089,11,15.7253,11,12.7605,25.1686,25.1175,30.1065,45.3398,35.1009,26.6069,22.0941,18.0018,16.637,23.637,89.299,18.6469,22.2544,21.142,29.7753,53.1321,30.7457,23.8737,26.2281,33.6445,25.2029,21.96,22.6499,22.8613,59.0284,32.596,33.6057,39.5468,37.0106,30.5855,34.4566,27.7062,22.6588,23.8239,29.9698,35.4709,31.4478,31.3596,38.101,50.8007
3,19.9148,16.1751,11,13.3117,13.2926,11,22.6158,22.0962,25.3484,30.6759,52.4259,45.3507,25.8889,17.5062,12.3582,14.9448,13.9987,11.7109,12.7478,12.6226,14.4646,27.3582,28.08,48.3244,29.3112,21.1063,17.1529,18.5145,16.1426,13.6852,14.0134,12.6124,17.0582,26.2675,25.3668,44.3733,22.051,14.9837,11,11,12.9241,19.8936,17.2607,17.5957,21.8189,27.9852,24.7349,49.9128,28.6291,22.2482,13.3706,13.8859,11,16.0716,11.8478,13.7263,23.7261,25.3157,29.8822,44.5147,36.305,29.5396,21.3427,19.0815,14.0048,26.4729,86.0996,20.2545,21.8967,22.0695,30.5965,53.6244,31.6583,22.69,22.1163,35.7679,24.8837,21.5803,23.6427,24.8151,57.5948,33.5397,34.2672,39.4296,37.9241,31.5763,36.671,29.0766,22.9162,23.1368,29.5399,36.863,33.8881,30.6702,38.021,50.8926
3.25,14.6571,11,11,11,11,11,11,11,16.5284,21.995,43.4063,37.9569,17.2192,11,11,11,11,11,11,11,11,19.725,18.9941,39.9992,23.9479,11.846,11,11,11,11,11,11,11,19.2818,19.7721,36.13,15.7751,11,11,11,11,11,11,11,14.372,22.3448,17.8551,41.7804,20.5041,14.7348,11,12.1448,11,11.4427,11,11,16.232,16.9515,24.5229,33.6494,25.0353,19.8406,11.9362,12.9593,11,16.6651,86.8584,12.494,16.2544,14.9725,25.5942,44.6826,27.3747,19.8754,20.2592,26.6172,14.1375,15.686,11.9381,16.699,48.4915,34.9746,28.5398,31.6292,31.5122,26.124,34.8779,24.146,18.2768,19.8438,21.1645,29.6999,26.2599,25.8284,31.9733,44.3645
3.5,25.1052,20.7163,13.0026,17.1158,17.6511,11,25.3449,25.7537,30.7953,36.6171,56.9261,48.165,29.3213,19.4798,13.6414,18.5321,15.7433,16.127,14.6345,14.8761,15.4624,32.1127,30.4117,49.031,31.8268,24.4711,20.1329,22.5864,21.811,18.2383,18.9314,14.6172,21.1069,29.507,26.5936,46.6112,27.7903,17.7926,13.3313,11,17.4646,20.7485,20.6047,21.0709,24.9642,30.5818,28.2896,53.4317,30.45,25.2146,14.8065,16.2087,11,19.6269,14.3054,16.724,28.3003,29.6027,34.3945,48.8318,39.6358,31.1369,25.2013,24.7355,19.1266,28.404,88.0493,22.4784,24.0767,23.0971,34.6792,55.9354,33.9474,26.1311,26.0619,37.9757,28.3597,25.809,26.0383,25.3161,61.8437,33.7317,35.349,39.6791,41.4069,36.4256,38.8741,31.6856,25.4603,27.1431,32.3338,38.9525,37.1506,36.2496,40.2584,54.916
3.75,19.1471,14.5224,11,11,11,11,15.4191,15.784,19.8115,26.6612,47.9451,43.076,20.9598,13.5457,11,11,11,11,11,11,11,21.4582,20.7206,43.7861,25.228,14.566,11,11.7426,11,11,11,11,13.8545,25.0081,21.8777,40.9862,20.7676,12.6701,11,11,11,13.5663,12.562,13.1809,17.3468,26.7693,22.2736,46.3428,24.5149,19.9985,12.5071,14.4331,11,16.5147,11,14.0447,18.1077,17.7349,27.1522,38.3787,28.3645,23.1246,16.6263,18.7666,13.2835,21.6995,88.6276,18.0883,18.4995,18.903,31.456,46.5277,27.8886,20.8952,24.237,27.4717,18.5978,20.6666,15.3211,20.0859,51.1704,34.6318,34.3538,34.2102,35.6921,29.6337,35.5591,27.2359,19.4746,24.7534,24.219,33.5515,31.5308,29.7224,35.0021,48.2818
4,17.5929,11.4257,11,11,11,11,12.8704,13.6596,17.1811,24.7722,44.9307,41.1789,19.189,13.2396,11,11,11,11,11,11,11,22.5793,21.8907,43.9815,25.8593,12.437,11,11.6994,11,11,11,11,13.1623,22.1827,19.9324,40.5883,20.3177,12.4001,11,11,11,11.3703,11,11,15.4658,25.834,22.2027,47.1924,22.8693,17.4594,11,13.081,11,15.7854,11,13.5728,17.2439,16.4107,26.0932,35.2052,24.7773,21.5327,16.8702,16.3552,12.5746,20.0716,88.1163,18.0856,18.6546,17.7787,30.5133,45.8062,29.1911,19.1573,22.0775,28.2341,18.2165,16.101,13.4591,18.8304,47.0317,33.1167,31.9083,34.2712,35.8419,30.9944,36.2224,24.7575,18.3715,21.6568,23.504,31.3654,29.3931,28.2943,37.4621,47.5379
4.25,15.9262,11,11,11,11,11,11,11,15.3139,22.6955,42.6026,39.613,15.496,11,11,11,11,11,11,11,11,17.6292,18.6662,41.2695,24.1288,11,11,11,11,11,11,11,11,18.5118,17.0351,37.1649,15.995,11,11,11,11,11,11,11,14.7714,22.0112,19.2328,42.8783,21.8253,15.2914,11,11.569,11,13.4172,11,11,14.7911,15.1996,21.2631,33.7732,25.2838,20.1664,15.4199,13.9115,11,15.6487,84.8819,13.8667,15.3408,14.0473,25.2764,43.4403,26.6862,18.529,19.8375,23.2581,16.3818,14.0792,11,16.3481,46.5573,34.8462,28.5705,30.0751,32.7625,26.2028,31.8976,23.0713,15.1559,19.1324,20.5456,30.6014,25.4855,25.274,33.472,44.7473
4.5,16.9537,14.4292,11,11,12.4702,11,15.6102,14.3816,19.42,26.4765,46.3263,42.7316,20.1828,13.4962,11,11,11,11,11,11,11,22.7368,22.4237,44.8538,26.3305,13.5819,11,11.9179,11,11,12.1058,11,14.7599,23.7184,21.2795,40.3498,21.1354,11.7912,11,11,11,13.6203,11,13.8178,17.9069,25.2167,23.9423,48.1624,23.6931,21.7809,12.6451,15.1889,11,15.946,11,14.0765,17.5667,18.7153,27.9873,36.7423,25.5262,25.9248,15.6375,17.9598,14.1561,19.7701,89.0483,19.3248,18.9381,20.8536,30.4339,48.391,29.4635,22.9597,21.8446,28.4044,19.1061,19.5124,15.3833,21.6204,49.7818,35.4408,34.0506,34.3202,38.6433,30.2447,38.2769,26.9629,19.5842,24.9807,24.156,32.6174,31.6941,30.2072,36.4419,49.5369
4.75,20.0731,14.523,11,13.1247,17.0348,11,15.8642,15.9197,20.1468,28.6142,48.8063,42.9173,20.3408,16.3502,11,11,11,11,11,11,12.3383,21.673,22.7147,47.0122,28.6854,16.78,12.9785,11.7403,11.8698,11,12.8684,11,15.1329,26.3751,22.5387,42.5565,22.4892,12.917,11,11,11.8128,14.4145,12.3144,13.1469,19.6422,27.3893,21.8901,46.8137,24.1483,19.9404,12.6688,17.045,11,16.3167,11.5193,15.4618,20.1485,22.8338,28.9356,39.1243,28.4122,27.226,17.5895,21.1937,14.741,20.9171,88.061,17.8698,17.9755,19.5041,32.9534,49.051,28.0808,23.4475,23.1856,30.7275,21.1794,21.0707,18.0167,21.5196,50.1557,36.3866,34.293,36.0653,39.6536,33.9718,38.3123,27.3728,18.7203,25.2058,26.3303,34.4354,31.4383,30.9389,39.2095,51.7504
