Data File,F:\OneDrive_1_18-7-2022\PM3 BASU-BALI_PM3_30__1_30_EXC_337_5#5#2022_A_ 6A_10.OKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time,5/5/2022 2:53:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,6-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,PM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,CoInoculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name,CoInoculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,CoInoculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
2.5,32.5379,26.0544,15.3972,19.9526,19.1889,11,15.1831,13.0434,20.3135,24.6836,43.1092,64.597,33.8467,23.1853,13.4684,14.9129,13.8598,11,11,11,14.0872,20.7354,17.951,36.5562,41.6021,25.8012,18.5269,15.5191,15.1565,11,11,14.0378,11,20.7548,17.2855,34.5983,33.8851,18.9727,13.549,11,11.8472,12.0072,11,11,12.9037,20.4649,16.957,31.2548,41.3297,24.1518,15.5694,13.6415,11,12.3869,11,46.9649,11,12.5869,18.143,26.1095,51.3699,34.5259,25.9789,15.6197,15.6036,86.7052,114.1105,12.2488,14.6442,17.6794,22.3395,28.7614,46.292,26.995,26.596,33.9006,24.1832,18.0601,15.4944,12.8119,13.8973,27.6874,23.6918,32.9809,52.1808,36.3546,29.5358,29.3599,27.8407,23.3169,24.0614,21.3816,24.7611,30.0953,32.3956,41.3936
2.75,22.2918,12.2057,11,11.5654,11,11,11.3419,14.5027,15.5952,19.3129,38.5566,64.1339,25.859,18.12,11,11.902,11,11,11,11,15.8244,18.2122,18.0745,32.8725,33.5072,15.1997,11,11.8897,11,11,11,17.909,12.3371,20.7662,15.3576,34.2164,21.2173,13.1485,11,11,11,11.637,11,12.0196,13.7161,17.3641,20.1551,36.511,27.9317,17.6202,14.3475,11.6245,11,11.9008,11,47.2397,15.3186,19.301,20.4327,32.2842,33.7628,23.4187,21.6051,15.192,15.6876,41.8707,117.9961,12.3574,17.9895,20.1351,22.766,36.4856,32.6566,22.3953,26.0722,28.8564,21.6187,19.7771,20.7516,18.7893,20.1911,31.5199,27.6037,34.6763,36.2554,28.6553,27.7069,25.9258,28.1332,24.428,25.2464,26.6295,28.9397,33.1359,34.0419,42.1575
3,36.9444,29.7065,20.3226,21.4971,20.3935,11,21.6972,20.2542,21.5964,25.5437,44.425,62.1932,41.3727,28.0569,18.6418,19.8357,18.3402,12.6033,11,12.5046,20.999,23.5695,21.9359,37.1484,46.7927,30.619,23.4552,19.317,17.7563,14.431,13.5681,18.84,14.5792,23.7475,20.222,37.9167,40.4839,23.7269,18.7491,13.4266,18.3934,18.6231,11.4154,13.3567,14.6356,22.8777,21.2524,34.7695,46.7004,28.4806,21.8262,17.5305,13.396,19.4183,13.2013,48.8102,17.0748,23.0953,23.2463,34.833,58.5194,39.9842,32.3433,22.3566,22.4688,86.1925,83.7409,17.3803,22.5045,23.4695,28.7182,36.7993,49.4099,34.179,32.4353,40.9013,33.2824,27.0523,27.1478,22.6257,23.9727,34.1815,29.3903,41.5043,59.5856,44.5711,36.99,38.1964,35.8389,31.0257,35.1765,31.4206,34.1484,38.8535,39.3494,49.6309
3.25,21.3595,11,11,11,11,11,11,11.6661,15.5193,15.2965,37.2441,59.3834,25.6801,14.8809,11,11,11,11,11,11,14.1702,14.8349,18.788,32.1961,31.3717,13.4341,11,11.4374,11,11,11,14.1797,12.5266,18.5437,16.9122,31.5231,21.6081,12.1517,11,11,11,12.5416,11,12.3876,12.8179,16.5682,19.2501,32.6948,24.6511,14.7047,11,12.0704,11,13.9808,11,47.2805,15.02,19.686,17.2866,30.3331,34.9652,21.5418,17.1543,12.8682,16.1936,80.6612,72.2058,13.143,20.3543,20.4493,22.8625,36.0605,31.0679,20.1378,22.4607,28.5522,20.3678,18.2186,16.0443,16.7144,20.5328,32.1962,27.8001,34.5525,35.0012,28.5522,28.0751,28.592,30.0351,25.6891,26.5214,25.6928,31.6116,35.0563,35.5015,45.7734
3.5,22.6212,15.9898,11,12.8449,11.2083,11,16.0044,17.2725,19.5965,22.6238,42.4146,52.534,23.1466,16.536,11,11,11,11,11,11,12.4092,21.3188,22.3884,38.4597,31.6813,15.194,13.3318,14.4061,14.8483,11,11,11.7825,14.3641,20.7096,17.0477,35.5096,22.797,12.147,11.0299,11,12.6917,12.5237,11,12.7547,16.8967,21.2592,19.6373,39.3024,26.2979,19.2019,11.0453,15.2711,11,15.4165,11,42.4297,17.8582,20.8854,21.1015,33.7999,33.5963,26.6569,18.1006,19.1295,15.004,83.249,57.7061,14.0689,16.6255,18.8412,25.0835,37.6589,33.7407,19.6397,25.7963,30.2531,21.8349,18.3893,17.9384,19.1829,19.4384,32.2858,27.5091,32.532,36.1698,28.6529,28.1229,28.0065,24.7963,22.1342,23.9434,26.0714,29.5373,30.5262,33.6964,42.9838
3.75,23.62,19.5649,11.0597,16.6754,15.6496,11,14.0594,12.5162,19.4748,25.632,45.2685,51.824,27.0135,18.1397,11,13.2351,11.0744,11,11,11,14.9206,20.4629,19.4706,39.7463,33.4291,15.6905,13.6229,12.5289,11,11,11,11.8261,13.6496,23.72,21.3745,43.6329,27.0895,15.22,11.3288,11,11,12.2831,11,11.4568,12.945,21.5968,20.6118,37.9977,31.0226,19.9235,14.4966,13.6157,11,14.4706,11,44.4921,12.4925,15.3777,20.4535,31.8268,40.5137,28.5572,21.2894,16.5454,15.8191,80.3242,60.1596,16.0159,19.6532,23.2547,28.9765,35.4637,36.6736,21.7906,24.4237,30.0645,22.6569,19.8057,16.6389,19.7311,22.0316,32.1481,31.1207,39.2461,42.4249,32.9985,27.1036,28.211,31.5602,28.8764,27.7897,26.3969,32.0189,36.7755,41.1681,49.8825
4,17.7093,11,11,11,11,11,11,11.2807,14.5446,17.5433,38.6494,43.8864,21.9573,11.3952,11,11,11,11,11,11,11,17.9298,18.7832,33.853,27.5217,12.9852,11,11,11,11,11,11,11,14.1235,14.0269,31.9691,18.1821,11,11,11,11,11,11,11,12.043,16.8091,18.5778,34.5338,23.0017,12.8584,11,11,11,11,11,39.1965,11,14.7685,17.1335,29.6878,30.6479,21.3655,16.1078,11,12.2033,72.7642,51.2792,11.1956,15.2048,15.4171,22.4159,35.0048,31.9397,16.4228,21.469,27.9902,18.7659,17.0848,12.6445,15.8709,16.1692,28.3636,26.4291,31.6472,31.629,26.9209,25.608,23.3788,22.7529,19.2045,22.8491,26.0793,25.7818,26.398,33.0467,39.6891
4.25,35.6311,31.808,18.4319,24.2552,27.8098,11.6895,22.6815,18.9296,26.4446,32.9346,50.7315,43.7373,35.3483,26.6339,14.409,17.496,18.6301,11,12.1751,11.327,15.1965,26.2143,22.5437,42.7394,42.8842,27.2303,20.7461,17.5689,16.5867,12.35,12.9036,12.8093,14.2985,26.231,19.739,40.5834,32.9896,23.2213,15.7246,11,16.1331,14.8672,11,13.9781,15.3459,24.6557,19.9867,38.128,41.6544,28.6794,18.3797,17.4383,11.9083,18.4148,11,38.5779,15.5344,16.4226,23.331,33.444,52.5054,35.8409,25.5994,19.5058,17.3547,74.4628,54.2896,14.9436,17.0115,18.39,25.9321,35.7923,47.1645,29.0758,27.7959,34.5615,26.1439,21.96,18.319,17.8872,19.3448,30.1218,28.7829,36.393,51.6948,39.5541,33.9047,32.3707,28.1597,24.5539,25.4182,27.2166,28.5554,31.5332,35.168,43.6946
4.5,19.3556,13.6818,11,11,11,11,11,11,11.0879,16.3728,39.1321,37.1528,22.7319,12.3068,11,11,11,11,11,11,11,13.46,13.764,32.1995,31.6787,13.1219,11,11,11,11,11,11,11,15.4257,14.9844,28.4381,20.8283,13.3288,11,11,11,11,11,11,11,13.6768,14.0822,27.3584,26.9399,15.1684,11.7396,11,11,11,11,38.8973,11,11,15.1414,19.5907,32.469,24.3641,14.4896,12.0766,12.9559,74.4829,58.804,11,11,15.1688,17.9121,24.9974,30.9122,18.8601,18.9423,26.3336,16.0273,13.1811,11,11,12.0057,23.9716,21.8562,22.63,31.1612,26.4137,24.0844,20.1768,22.1846,18.8877,18.3478,20.538,21.1256,21.256,24.7898,30.2984
4.75,17.957,16.4234,11,13.8908,19.4929,11,11.9019,11.0734,17.2146,27.098,46.7643,38.6702,18.6805,16.0878,11,11,11,11,11,11,13.0947,21.2296,16.4248,41.0783,31.551,14.8239,12.0264,11,11,11,11,11,12.9131,21.607,18.7809,38.4907,21.8493,13.1251,11,11,11,11,11,11,11.991,22.2215,16.9537,35.8799,22.1672,17.6082,11,15.2567,11,12.3953,11,34.999,11,12.4538,18.1772,25.6389,27.1389,23.0299,14.5763,14.6794,11.7953,69.1131,64.5776,11,12.9845,15.5433,23.7462,29.4517,32.4469,19.2009,22.3441,23.4075,13.2374,14.1264,11,13.5149,15.2429,22.4277,24.1042,27.985,32.3021,28.2994,25.1182,19.5109,19.177,19.3431,18.6651,20.2122,21.7826,22.4951,29.8013,35.1937
