#							activity
#plate_id	well_id	chemical	category	moa	co_id	replica	CoInoculum	StrainA	StrainB
PM01	G01	Gly-Glu	carbon	C-Source, amino acid		2	0	3	4
PM01	G02	Tricarballylic acid	carbon	C-Source, carboxylic acid		2	0	0	0
PM01	G03	L-Serine	carbon	C-Source, amino acid	C00065	2	0	2	0
PM01	G04	L-Threonine	carbon	C-Source, amino acid	C00188	2	0	0	1
PM01	G05	L-Alanine	carbon	C-Source, amino acid	C00041	2	1	2	2
PM01	G06	Ala-Gly	carbon	C-Source, amino acid		2	1	2	2
PM01	G07	Acetoacetic acid	carbon	C-Source, carboxylic acid	C00164	2	0	1	0
PM01	G08	N-Acetyl-D-Mannosamine	carbon	C-Source, carbohydrate	C00645	2	1	1	1
PM01	G09	Mono-Methylsuccinate	carbon	C-Source, carboxylic acid		2	0	1	3
PM01	G10	Methylpyruvate	carbon	C-Source, ester		2	3	2	3
PM01	G11	D-Malic acid	carbon	C-Source, carboxylic acid	C00497	2	0	1	0
PM01	G12	L-Malic acid	carbon	C-Source, carboxylic acid	C00149	2	5	7	7
PM01	H01	Gly-Pro	carbon	C-Source, amino acid		2	0	3	4
PM01	H02	p-Hydroxyphenyl Acetic acid	carbon	C-Source, carboxylic acid	C00642	2	0	0	0
PM01	H03	m-Hydroxyphenyl Acetic acid	carbon	C-Source, carboxylic acid	C05593	2	0	1	0
PM01	H04	Tyramine	carbon	C-Source, amine	C00483	2	0	0	0
PM01	H05	D-Psicose	carbon	C-Source, carbohydrate	C06468	2	0	4	0
PM01	H06	L-Lyxose	carbon	C-Source, carbohydrate	C01508	2	8	8	8
PM01	H07	Glucuronamide	carbon	C-Source, amide	D01791	2	4	3	4
PM01	H08	Pyruvic acid	carbon	C-Source, carboxylic acid	C00022	2	2	5	7
PM01	H09	L-Galactonic acid-g-Lactone	carbon	C-Source, carboxylic acid	C01115	2	5	7	4
PM01	H10	D-Galacturonic acid	carbon	C-Source, carboxylic acid	C00333	2	7	7	4
PM01	H11	Phenylethylamine	carbon	C-Source, amine	C05332	2	0	3	3
PM01	H12	2-Aminoethanol	carbon	C-Source, alcohol	C00189	2	4	3	4
PM03	A01	Negative Control	nitrogen	N-Source, Negative control		2	0	0	0
PM03	A02	Ammonia	nitrogen	N-Source, inorganic	C00014	2	3	0	3
PM03	A03	Nitrite	nitrogen	N-Source, inorganic	C00088	2	1	3	1
